Simtime;TotalRx;TotalTx;PRR
1;3121;3154;0.989537
2;18551;19418;0.955351
3;35891;38494;0.932379
4;53632;57741;0.928837
5;72226;76817;0.940235
6;89960;96007;0.937015
7;107313;115083;0.932484
8;122842;134311;0.914609
9;138323;153444;0.901456
10;154389;172577;0.894609
11;172586;191729;0.900156
12;190409;210786;0.903328
13;208862;229938;0.908341
14;226808;249052;0.910685
15;243359;268185;0.90743
16;261771;287299;0.911145
17;279566;306432;0.912326
18;296182;325470;0.910013
19;313486;344660;0.909551
20;330502;363755;0.908584
